,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Derzhavīnsk,51.1,66.32,39.79,69,0,10.56,KZ,1602994267
1,Cap Malheureux,-19.98,57.61,78.01,63,24,8.99,MU,1602994267
2,Finspång,58.71,15.77,39.2,74,51,10.29,SE,1602994267
3,Prachuap Khiri Khan,12.22,99.75,77.0,88,75,5.82,TH,1602993983
4,Andenes,69.31,16.12,35.6,93,75,20.8,NO,1602994268
5,Narón,43.52,-8.15,55.0,93,97,5.82,ES,1602994268
6,Lucapa,-8.42,20.74,65.01,91,4,2.15,AO,1602994268
7,Boguchany,58.38,97.45,45.05,76,100,10.63,RU,1602994268
8,Pimentel,-6.84,-79.93,62.01,88,58,7.34,PE,1602994268
9,Kabo,7.7,18.63,69.58,92,77,2.33,CF,1602994269
10,Lamu,-2.27,40.9,77.0,83,40,3.36,KE,1602994269
11,Hilo,19.73,-155.09,82.4,61,90,13.87,US,1602994269
12,Kanye,-24.97,25.33,67.91,40,0,6.24,BW,1602994269
13,Hobyo,5.35,48.53,79.9,76,11,14.43,SO,1602994270
14,Bubaque,11.28,-15.83,81.73,86,13,11.56,GW,1602994270
15,Kisangani,0.52,25.2,69.51,98,100,2.42,CD,1602994270
16,Port-Gentil,-0.72,8.78,77.56,86,100,9.04,GA,1602994270
17,Narsaq,60.92,-46.05,35.6,80,41,3.36,GL,1602994270
18,Mazatlán,23.22,-106.42,87.01,83,5,3.36,MX,1602994066
19,Kayerkan,69.35,87.76,28.4,79,89,13.42,RU,1602994271
20,Verāval,20.9,70.37,84.76,78,55,16.64,IN,1602994271
21,Villazón,-22.09,-65.59,51.53,63,0,9.69,BO,1602994271
22,Yumbe,3.47,31.25,65.71,95,99,3.94,UG,1602994271
23,Bend,44.06,-121.32,55.4,47,1,4.85,US,1602994272
24,Caravelas,-17.71,-39.25,72.09,81,72,7.0,BR,1602994272
25,Kiryat Gat,31.61,34.76,69.01,77,0,3.83,IL,1602994272
26,Vestmanna,62.16,-7.17,35.6,93,100,2.89,FO,1602994272
27,Verkh-Usugli,52.7,115.17,38.26,71,77,7.7,RU,1602994272
28,Deputatsky,69.3,139.9,14.74,96,100,10.2,RU,1602994272
29,Przhevalskoye,55.51,31.85,37.58,95,100,8.1,RU,1602994273
30,Aberdeen,57.14,-2.1,42.8,87,90,8.05,GB,1602994125
31,Saskylakh,71.92,114.08,16.48,96,99,4.29,RU,1602994273
32,Belluno,46.15,12.22,46.99,96,12,5.77,IT,1602994273
33,Shaoguan,24.8,113.58,72.84,63,87,5.99,CN,1602994274
34,Sisimiut,66.94,-53.67,37.26,84,86,8.12,GL,1602994217
